#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
9.0,9,5.850883
11.0,11,5.860234
10.0,10,5.862449
10.0,10,5.87304
10.0,10,5.873098
10.0,10,5.873118
10.0,10,5.878122
9.0,9,5.88732
9.0,9,5.893274
10.0,10,5.893721
10.0,10,5.89376
9.0,9,5.899534
11.0,11,5.907755
8.0,8,5.91223
11.0,11,5.91388
10.0,10,5.913956
9.0,9,5.922077
10.0,10,5.92856
9.0,9,5.929436
9.0,9,5.93811
10.0,10,5.939733
11.0,11,5.939797
10.0,10,5.946292
10.0,10,5.954743
9.0,9,5.955592
9.0,9,5.957183
10.0,10,5.960896
9.0,9,5.971095
11.0,11,5.973502
10.0,10,5.973572
9.0,9,5.97802
10.0,10,5.97809
8.0,8,5.987524
8.0,8,5.98986
9.0,9,5.993582
10.0,10,6.000108
11.0,11,6.003443
10.0,10,6.007353
10.0,10,6.013146
12.0,12,6.018811
8.0,8,6.022541
12.0,12,6.024943
9.0,9,6.025013
8.0,8,6.034733
9.0,9,6.039152
10.0,10,6.040739
8.0,8,6.041603
9.0,9,6.049911
8.0,8,6.051498
10.0,10,6.057426
9.0,9,6.061541
10.0,10,6.061601
9.0,9,6.066858
10.0,10,6.072051
11.0,11,6.078759
11.0,11,6.084276
11.0,11,6.084344
10.0,10,6.084371
10.0,10,6.089519
8.0,8,6.098692
9.0,9,6.10389
11.0,11,6.105541
11.0,11,6.105609
9.0,9,6.113273
10.0,10,6.118987
10.0,10,6.124141
8.0,8,6.124196
8.0,8,6.12423
9.0,9,6.133566
11.0,11,6.140833
9.0,9,6.141629
10.0,10,6.14925
8.0,8,6.149318
10.0,10,6.149346
9.0,9,6.16021
11.0,11,6.165016
10.0,10,6.165904
10.0,10,6.165967
11.0,11,6.166763
9.0,9,6.181102
10.0,10,6.181158
9.0,9,6.181921
9.0,9,6.185629
11.0,11,6.190453
9.0,9,6.197159
10.0,10,6.200857
12.0,12,6.20308
12.0,12,6.211277
11.0,11,6.211349
8.0,8,6.215922
8.0,8,6.219651
9.0,9,6.229707
9.0,9,6.230556
11.0,11,6.232125
9.0,9,6.235862
9.0,9,6.240612
8.0,8,6.245838
9.0,9,6.247409
11.0,11,6.253249
11.0,11,6.258508
10.0,10,6.258578
11.0,11,6.264308
9.0,9,6.264378
10.0,10,6.278468
11.0,11,6.27854
10.0,10,6.278575
10.0,10,6.284405
11.0,11,6.289249
9.0,9,6.295182
10.0,10,6.296079
10.0,10,6.296142
9.0,9,6.333729
10.0,10,6.338725
9.0,9,6.341012
9.0,9,6.344817
9.0,9,6.344902
9.0,9,6.351616
8.0,8,6.355399
10.0,10,6.362089
